id;Название;Реставрация;Размер;Автор;Школа;Регион;Город;Страна;Материал;Персоналии;датировка окладов;Уточняющая датировка;Век;Страна (хранение);Место хранения;Иконография;Тип изображения;Фрагменты
1402.0;Максим Исповедник, в житии;TRUE;197,3 х 157,2 см;Истома Гордеев ;;;;;Дерево, темпера;максим исповедник;;1591-1600;16.0;Россия;Сольвычегодский историко-художественный музей;Святые;Ростовое с клеймами;Максим Исповедник возвращается в Константинополь, Максим Исповедник перед императором
1403.0;Малахия, Иоиль (из пророческого чина);TRUE;59 х 184 см;;;вологодская область;;россия;Дерево, темпера;пророк малахия, пророк иоиль;;1502;16.0;Россия;Кирилло-Белозерский историко-архитектурный и художественный музей-заповедник;Святые;Поясное;
1404.0;Мамант мученик;FALSE;27 х 25 см;;византийская школа;;александрия;;Дерево, темпера;мученик мамант;;1240-1260;13.0;Кипр;Государственный Эрмитаж, Санкт-Петербург;Святые;Ростовое;
1405.0;Марина великомученица;FALSE;114,5 х 78 см;;;;;;Дерево, темпера;великомученица марина;;1400;15.0;Греция;Византийский и христианский музей, Афины;Святые;Поясное;
1406.0;Марина великомученица;TRUE;37,4 x 31 см;Крит;;;;;Дерево, темпера;великомученица марина;;1451-1500;15.0;Греция;Государственный Исторический музей, Москва;Святые;Поясное;
1407.0;Марина великомученица, в житии;FALSE;104 х 74,5 см;Лазарос;;;;;Дерево, темпера;спаситель, ангел, великомученица марина;;1857;19.0;Греция;Византийский и христианский музей, Афины;Святые;Ростовое;
1408.0;Марина и Екатерина (на обороте Георгий);FALSE;109 х 72 см;;;;;;Дерево, темпера;великомученица марина, великомученица екатерина;;;13.0;Греция;Византийский и христианский музей, Афины;Святые;Ростовое;
1409.0;Мария Египетская;FALSE;20 x 15,5 см;;;;;;Дерево, масло;спаситель, преподобная мария египетская;;1776-1800;18.0;Россия;Частное собрание;Святые;Сюжетная композиция;
1410.0;Мария Египетская, в житии;TRUE;31 х 26,5 см;Петр Иванович Цепков;;;;;Дерево, темпера;мария египетская преподобная;;1891-1900;19.0;Россия;Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник;Святые;Ростовое с клеймами;Зосима просит льва помочь ему похоронить Марию
1411.0;Мария Египетская, в житии;FALSE;35,8 х 30,9 см;;;самарская область;сызрань;россия;Дерево, левкас, темпера;;;1851-1900;19.0;Россия;Частное собрание Игоря Возякова;Святые;Сюжетная композиция;
1412.0;Мария Египетская, в житии;FALSE;136 х 105 см;;;;;;Дерево, темпера;мария египетская, прп;;1676-1700;17.0;Россия;Государственная Третьяковская галерея, Москва;Святые;Ростовое с клеймами;
1413.0;Мария Магдалина и Евдокия;TRUE;112 х 71 см;;;московская область;;россия;Дерево, темпера;равноапостольная мария магдалина, прмц. евдокия;;1670-1680;17.0;Россия;"Московский государственный объединенный художественный историко-архитектурный и природно-ландшафтный музей-заповедник ""Коломенское""";Святые;Многофигурное;Евдокия прмц., Мария Магдалина, Спаситель
1414.0;Марк апостол (из Царских врат);TRUE;48 х 34;;ростовская школа;;;;Дерево, темпера;апостол марк;;1501-1533;16.0;Россия;"Государственный музей-заповедник ""Ростовский Кремль""";Святые;Сюжетная композиция;
1415.0;Марк апостол (из деисусного чина);TRUE;47,5 х 35 см;;итало-греческая школа;;;;Дерево, темпера;апостол марк;;;17.0;Крит;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Святые;Поясное;
