статус;id;персоналии_файл1;персоналии_файл2;добавлено;удалено
в обоих файлах;2942.0;богоматерь, праведный иоаким, праведная анна, служанки;богоматерь, праведный иоаким, праведная анна, служанки;;
в обоих файлах;2943.0;богоматерь, праведный иоаким, праведная анна, служанки;богоматерь, праведный иоаким, праведная анна, служанки;;
в обоих файлах;2944.0;богоматерь, праведный иоаким, праведная анна;богоматерь, праведный иоаким, праведная анна;;
в обоих файлах;2945.0;богоматерь, праведный иоаким, праведная анна;богоматерь, праведный иоаким, праведная анна;;
в обоих файлах;2946.0;богоматерь, праведный иоаким, праведная анна, служанки;богоматерь, праведный иоаким, праведная анна, служанки;;
в обоих файлах;2947.0;богоматерь, праведный иоаким, праведная анна, служанки;богоматерь, праведный иоаким, праведная анна, служанки;;
в обоих файлах;2948.0;богоматерь, праведный иоаким, праведная анна, служанки;богоматерь, праведный иоаким, праведная анна, служанки;;
в обоих файлах;2949.0;богоматерь, праведный иоаким, праведная анна, служанки;богоматерь, праведный иоаким, праведная анна, служанки;;
в обоих файлах;2950.0;богоматерь, праведный иоаким, праведная анна, служанки;богоматерь, праведный иоаким, праведная анна, служанки;;
в обоих файлах;2951.0;богоматерь, праведный иоаким, праведная анна;богоматерь, праведный иоаким, праведная анна;;
в обоих файлах;2952.0;богоматерь, праведный иоаким, праведная анна, служанки;богоматерь, праведный иоаким, праведная анна, служанки;;
в обоих файлах;2953.0;богоматерь, праведный иоаким, праведная анна, служанки;богоматерь, праведный иоаким, праведная анна, служанки;;
изменено;2954.0;спаситель, богородица, праведная анна, праведный иоаким, служанки;спаситель, богоматерь, праведная анна, праведный иоаким, служанки;богоматерь;богородица
в обоих файлах;2955.0;богоматерь, праведный иоаким, праведная анна, служанки;богоматерь, праведный иоаким, праведная анна, служанки;;
в обоих файлах;2956.0;богоматерь, праведный иоаким, праведная анна;богоматерь, праведный иоаким, праведная анна;;
в обоих файлах;2957.0;богоматерь, праведный иоаким, праведная анна, служанки;богоматерь, праведный иоаким, праведная анна, служанки;;
в обоих файлах;2958.0;богоматерь, праведный иоаким, праведная анна, служанки;богоматерь, праведный иоаким, праведная анна, служанки;;
в обоих файлах;2959.0;богоматерь, праведный иоаким, праведная анна;богоматерь, праведный иоаким, праведная анна;;
в обоих файлах;2960.0;богоматерь, праведный иоаким, праведная анна, служанки;богоматерь, праведный иоаким, праведная анна, служанки;;
в обоих файлах;2961.0;богоматерь, праведный иоаким, праведная анна, служанки;богоматерь, праведный иоаким, праведная анна, служанки;;
